restaurant_id,avg_risk,max_risk,last_score,inspections,latest_inspection,premises_name,premise_address_1,grade
IHOP #492 MATTHEWS|9253 E INDEPENDENCE BV,0.5086386982948948,0.878227197305051,86.0,6,2024-12-31,IHOP #492 MATTHEWS,9253 E INDEPENDENCE BV,B
MR TOKYO JAPANESE RESTAURANT|10012 BENFIELD RD,0.5084361860184606,0.8123861789082757,91.5,7,2024-08-15,MR TOKYO JAPANESE RESTAURANT,10012 BENFIELD RD,A
LA UNICA MEXICAN RESTAURANT|900 NC MUSIC FACTORY BV,0.5056583666431416,0.9175564514631884,96.0,7,2024-08-22,LA UNICA MEXICAN RESTAURANT,900 NC MUSIC FACTORY BV,A
"ORIGINAL PANCAKE HOUSE, THE|4736 SHARON RD",0.5036935456843494,0.8309317949096364,95.0,3,2024-09-05,"ORIGINAL PANCAKE HOUSE, THE",4736 SHARON RD,A
GO GO EMPANADAS|11229 E INDEPENDENCE BV,0.49678925142063896,0.779605405143718,89.5,6,2024-08-22,GO GO EMPANADAS,11229 E INDEPENDENCE BV,B
VELVET TACO SOUTH END|2170 HAWKINS ST,0.4957007221588004,0.8407973600235575,94.0,7,2024-10-15,VELVET TACO SOUTH END,2170 HAWKINS ST,A
SUBWAY #34672|4023 BROOKSHIRE BV,0.4950160297225812,0.830916421066726,96.5,4,2024-10-10,SUBWAY #34672,4023 BROOKSHIRE BV,A
AMERICAN DELI|5700 UNIVERSITY POINTE BV,0.4893262620298657,0.834260272768561,91.0,6,2024-08-05,AMERICAN DELI,5700 UNIVERSITY POINTE BV,A
TERIYAKI EXPRESS II|6434 W SUGAR CREEK RD,0.48339209909906733,0.7040248567861191,93.0,7,2024-08-29,TERIYAKI EXPRESS II,6434 W SUGAR CREEK RD,A
SUMAQ COFFEE|6259 SOUTH BV,0.4825312632194404,0.4825312632194404,91.5,1,2024-11-12,SUMAQ COFFEE,6259 SOUTH BV,A
EL RINCON CATRACHO RESTAURANT & BAR|204 W WOODLAWN RD,0.4810992016881507,0.7484095398194668,98.0,4,2024-07-24,EL RINCON CATRACHO RESTAURANT & BAR,204 W WOODLAWN RD,A
TIMA AFRICAN RESTAURANT|4438 THE PLAZA,0.47983098982959016,0.47983098982959016,96.0,1,2024-10-04,TIMA AFRICAN RESTAURANT,4438 THE PLAZA,A
BRUEGGERS BAGEL BAKERY #226|1905 MATTHEWS TOWNSHIP PY,0.4792724927428659,0.7738075251656865,94.0,5,2024-09-23,BRUEGGERS BAGEL BAKERY #226,1905 MATTHEWS TOWNSHIP PY,A
BRICKTOP`S RESTAURANT #3|6401 CARNEGIE BV,0.4785752651192564,0.7063759385064461,95.5,5,2024-10-31,BRICKTOP`S RESTAURANT #3,6401 CARNEGIE BV,A
TRIVENI EXPRESS|9539 PINNACLE DR,0.4767104411004876,0.6351916413136741,97.5,7,2024-09-25,TRIVENI EXPRESS,9539 PINNACLE DR,A
JASMINE GRILL|10601 CENTRUM PY,0.4766964625876013,0.4766964625876013,92.5,1,2024-09-25,JASMINE GRILL,10601 CENTRUM PY,A
AMF UNIVERSITY LANES|5900 N TRYON ST,0.47659780719831923,0.6684931371060714,92.5,4,2024-09-23,AMF UNIVERSITY LANES,5900 N TRYON ST,A
LAS MERAS TORTAS|5661 FARM POND LN,0.4745750934501734,0.7062038823051838,96.5,6,2024-09-04,LAS MERAS TORTAS,5661 FARM POND LN,A
IRIE NATION|440 E MCCULOUGH DR,0.4740112847646148,0.6549675942719657,92.5,3,2024-11-04,IRIE NATION,440 E MCCULOUGH DR,A
"ORIGINAL NY BAGELS, THE|9810 GILEAD RD",0.47399670016390016,0.5738531294103533,91.0,4,2024-09-17,"ORIGINAL NY BAGELS, THE",9810 GILEAD RD,A
MACCHU PICCHU|123 MAIN ST,0.4736132764997138,0.4736132764997138,97.0,1,2024-09-05,MACCHU PICCHU,123 MAIN ST,A
FREDDYS FROZEN CUSTARD & STEAKBURGER #3214|3811 CORNING PL,0.4730294934559478,0.6610084361699996,93.5,4,2024-08-19,FREDDYS FROZEN CUSTARD & STEAKBURGER #3214,3811 CORNING PL,A
COURTYARD MARRIOT|2700 LITTLE ROCK RD,0.46918304125583976,0.7655695974524467,94.0,5,2024-12-11,COURTYARD MARRIOT,2700 LITTLE ROCK RD,A
TOUS LE JOURS SOUTHPARK|4625 PIEDMONT ROW DR,0.4689186875738573,0.4689186875738573,94.5,1,2024-11-19,TOUS LE JOURS SOUTHPARK,4625 PIEDMONT ROW DR,A
MASA SUSHI ASIAN GRILL|12806 S TRYON ST,0.46459206785949936,0.5532091721239137,94.5,4,2024-10-24,MASA SUSHI ASIAN GRILL,12806 S TRYON ST,A
LOSO TAVERN|4548 OLD PINEVILLE RD,0.4598093147215994,0.6083146107013733,93.0,6,2024-09-30,LOSO TAVERN,4548 OLD PINEVILLE RD,A
DEEJAI NOODLE BAR|3629 N DAVIDSON ST,0.45786706739309047,0.7487569759743764,91.0,8,2024-10-09,DEEJAI NOODLE BAR,3629 N DAVIDSON ST,A
ROOM SERVICE|701 KESWICK AV,0.45537357639441356,0.6747828505157182,97.0,2,2024-10-23,ROOM SERVICE,701 KESWICK AV,A
YUME BISTRO|1508 S MINT ST,0.4530889255966885,0.7713796092733888,92.0,6,2024-08-29,YUME BISTRO,1508 S MINT ST,A
WAFFLE HOUSE #2043|2125 W ARROWOOD RD,0.45192732433173144,0.705056693711128,96.5,4,2024-08-20,WAFFLE HOUSE #2043,2125 W ARROWOOD RD,A
PHO NAM VIETNAMESE CUISINE|18059 WEST CATAWBA AV,0.44921172754705124,0.7106771278359048,97.0,6,2024-10-28,PHO NAM VIETNAMESE CUISINE,18059 WEST CATAWBA AV,A
LONGHORN STEAKHOUSE # 5635|4909 TROJAN DR,0.44793430200630624,0.6399192462626742,96.0,5,2024-08-21,LONGHORN STEAKHOUSE # 5635,4909 TROJAN DR,A
BOJANGLES #591|10321 CANE CREEK DR,0.44627622967725245,0.7737084445793222,95.0,7,2024-11-05,BOJANGLES #591,10321 CANE CREEK DR,A
HYATT PLACE CHARLOTTE AIRPORT TYVOLA ROAD|2950 OAK LAKE BV,0.4457523819309791,0.7023291158206452,90.0,4,2024-12-10,HYATT PLACE CHARLOTTE AIRPORT TYVOLA ROAD,2950 OAK LAKE BV,A
DUNKIN DONUTS #356833|4920 OLD SARDIS RD,0.4440911719181746,0.7307290593479752,98.0,4,2024-11-14,DUNKIN DONUTS #356833,4920 OLD SARDIS RD,A
