acs_year,state_fips,county_fips,tract,block_group,acs_data_year,median_income,total_pop,white,black,asian,total_pop_hispanic_table,hispanic,under_18,over_65,pct_white,pct_black,pct_asian,pct_hispanic
2021,37,119,005859,1,2023,125588.0,2725.0,2064.0,218.0,393.0,2725.0,34.0,,,0.7574311926605505,0.08,0.14422018348623852,0.012477064220183486
2022,37,119,005859,1,2023,125588.0,2725.0,2064.0,218.0,393.0,2725.0,34.0,,,0.7574311926605505,0.08,0.14422018348623852,0.012477064220183486
2023,37,119,005859,1,2023,125588.0,2725.0,2064.0,218.0,393.0,2725.0,34.0,,,0.7574311926605505,0.08,0.14422018348623852,0.012477064220183486
2023,37,119,001000,2,2023,56250.0,599.0,492.0,19.0,0.0,599.0,0.0,,,0.8213689482470785,0.03171953255425709,0.0,0.0
2023,37,119,005307,2,2023,49708.0,2166.0,250.0,929.0,141.0,2166.0,794.0,,,0.11542012927054478,0.4289012003693444,0.06509695290858726,0.36657433056325023
2015,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2016,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2017,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2018,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2019,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2020,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2021,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2022,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2023,37,119,000503,1,2023,70690.0,1389.0,703.0,414.0,37.0,1389.0,178.0,,,0.5061195104391649,0.2980561555075594,0.02663786897048236,0.12814974802015838
2015,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2016,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2017,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2018,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2019,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2020,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2021,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2022,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2023,37,119,000402,1,2023,54708.0,947.0,734.0,43.0,77.0,947.0,30.0,,,0.7750791974656811,0.0454065469904963,0.08130939809926083,0.03167898627243928
2017,37,119,005840,1,2023,123056.0,2253.0,1640.0,301.0,208.0,2253.0,132.0,,,0.7279183311140701,0.13359964491788726,0.0923213493120284,0.05858854860186418
2018,37,119,005840,1,2023,123056.0,2253.0,1640.0,301.0,208.0,2253.0,132.0,,,0.7279183311140701,0.13359964491788726,0.0923213493120284,0.05858854860186418
2019,37,119,005840,1,2023,123056.0,2253.0,1640.0,301.0,208.0,2253.0,132.0,,,0.7279183311140701,0.13359964491788726,0.0923213493120284,0.05858854860186418
2020,37,119,005840,1,2023,123056.0,2253.0,1640.0,301.0,208.0,2253.0,132.0,,,0.7279183311140701,0.13359964491788726,0.0923213493120284,0.05858854860186418
2021,37,119,005840,1,2023,123056.0,2253.0,1640.0,301.0,208.0,2253.0,132.0,,,0.7279183311140701,0.13359964491788726,0.0923213493120284,0.05858854860186418
