Premise Address 1,Premise City,Premise State,Premise ZIP,acs_year,matched_address,lon,lat,state_fips,county_fips,tract,block,block_group,geoid_tract,geoid_block_group
1961 E SEVENTH ST,Charlotte,NC,,2015,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2016,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2017,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2018,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2019,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2020,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2021,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2022,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
1961 E SEVENTH ST,Charlotte,NC,,2023,"1961 E 7TH ST, CHARLOTTE, NC, 28204",-80.818618902039,35.212928993598,37,119,002500,1007,1,37119002500,371190025001
4450 RANDOLPH RD,Charlotte,NC,,2015,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2016,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2017,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2018,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2019,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2020,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2021,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2022,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
4450 RANDOLPH RD,Charlotte,NC,,2023,"4450 RANDOLPH RD, CHARLOTTE, NC, 28211",-80.799502597508,35.177067328811,37,119,002202,1009,1,37119002202,371190022021
1401 EAST BV,Charlotte,NC,,2015,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2016,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2017,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2018,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2019,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2020,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2021,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2022,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
1401 EAST BV,Charlotte,NC,,2023,"1401 EAST BLVD, CHARLOTTE, NC, 28203",-80.843603852049,35.201239924872,37,119,003500,1013,1,37119003500,371190035001
212 S TRYON ST,Charlotte,NC,,2019,"212 S TRYON ST, CHARLOTTE, NC, 28202",-80.844427018918,35.226337963202,37,119,000102,1008,1,37119000102,371190001021
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2015,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2016,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2017,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2018,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2019,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2020,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2021,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2022,,,,,,,,,,
16846 BIRKDALE COMMONS PY,Charlotte,NC,,2023,,,,,,,,,,
800 W TRADE ST,Charlotte,NC,,2015,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2016,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2017,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2018,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2019,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2020,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2021,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2022,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
800 W TRADE ST,Charlotte,NC,,2023,"800 W TRADE ST, CHARLOTTE, NC, 28202",-80.849987996861,35.233085102874,37,119,000502,1012,1,37119000502,371190005021
4425 PARK RD,Charlotte,NC,,2015,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2016,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2017,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2018,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2019,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2020,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2021,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2022,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
4425 PARK RD,Charlotte,NC,,2023,"4425 PARK RD, CHARLOTTE, NC, 28209",-80.851028523891,35.171673350016,37,119,003111,1001,1,37119003111,371190031111
7860 REA RD,Charlotte,NC,,2015,"7860 REA RD, CHARLOTTE, NC, 28277",-80.813157719814,35.060387649948,37,119,005816,2003,2,37119005816,371190058162
7860 REA RD,Charlotte,NC,,2016,"7860 REA RD, CHARLOTTE, NC, 28277",-80.813157719814,35.060387649948,37,119,005816,2003,2,37119005816,371190058162
7860 REA RD,Charlotte,NC,,2017,"7860 REA RD, CHARLOTTE, NC, 28277",-80.813157719814,35.060387649948,37,119,005816,2003,2,37119005816,371190058162
7860 REA RD,Charlotte,NC,,2018,"7860 REA RD, CHARLOTTE, NC, 28277",-80.813157719814,35.060387649948,37,119,005816,2003,2,37119005816,371190058162
7860 REA RD,Charlotte,NC,,2019,"7860 REA RD, CHARLOTTE, NC, 28277",-80.813157719814,35.060387649948,37,119,005816,2003,2,37119005816,371190058162
7860 REA RD,Charlotte,NC,,2020,"7860 REA RD, CHARLOTTE, NC, 28277",-80.813157719814,35.060387649948,37,119,005816,2003,2,37119005816,371190058162
