premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual
BELLE ACRES COUNTRY CLUB,3025 SOUTH BV,Charlotte,NC,,BELLE ACRES COUNTRY CLUB,,other,
BENNY FERROVIAS,340 W TREMONT AV,Charlotte,NC,,BENNY FERROVIAS,,other,
BENNY PENNELLO'S,2909 N DAVIDSON ST,Charlotte,NC,,BENNY PENNELLO S,,other,
BEST WESTERN PLUS,2501 SARDIS RD N,Charlotte,NC,,BEST WESTERN PLUS,,other,
BEST WESTERN PLUS,9825 LEITNER DR,Charlotte,NC,,BEST WESTERN PLUS,,other,
BIG AIR TRAMPOLINE PARK,2408 SARDIS RD N,Charlotte,NC,,BIG AIR TRAMPOLINE PARK,,other,
BIG AIR TRAMPOLINE PARK,8215 UNIVERSITY CITY BV,Charlotte,NC,,BIG AIR TRAMPOLINE PARK,,other,
BIG CHILL EVENT VENUE,911 E MOREHEAD ST,Charlotte,NC,,BIG CHILL EVENT VENUE,,other,
BIN 110,19712 ONE NORMAN BV,Charlotte,NC,,BIN,,other,
BISCUIT BELLY,1949 E 7TH ST,Charlotte,NC,,BISCUIT BELLY,,other,
BISCUITVILLE #202,3060 DERITA RD,Charlotte,NC,,BISCUITVILLE,,other,
BITE YOUR TONGUE,1121 BEATTIES FORD RD,Charlotte,NC,,BITE YOUR TONGUE,,other,
BLASIAN ASIAN WAY,1801 N GRAHAM ST,Charlotte,NC,,BLASIAN ASIAN WAY,,other,
"BLUE TAJ, THE",14815 BALLANTYNE VILLAGE WY,Charlotte,NC,,BLUE TAJ,,other,
BOARDWALK BILLY`S,1636 SARDIS RD N,Charlotte,NC,,BOARDWALK BILLY S,,other,
BOATYARD LKN,18418 STATESVILLE RD,Charlotte,NC,,BOATYARD LKN,,other,
BOB EVANS #362,9253 STATESVILLE RD,Charlotte,NC,,BOB EVANS,,other,
BOB EVANS REST #335,16706 NORTHCROSS DR,Charlotte,NC,,BOB EVANS REST,,other,
BOHEMIAN,1319 PECAN AV,Charlotte,NC,,BOHEMIAN,,other,
BOILING POT/CHINA GOGO,7010 SMITH CORNERS BV,Charlotte,NC,,BOILING POT/CHINA GOGO,,other,
BONCHON,8318 PINEVILLE-MATTHEWS RD,Charlotte,NC,,BONCHON,,other,
BONCHON CHARLOTTE - WOODLAWN,1600 E WOODLAWN RD,Charlotte,NC,,BONCHON CHARLOTTE - WOODLAWN,,other,
BOSSY BEULAHS BALLANTYNE,15110 BOWL ST,Charlotte,NC,,BOSSY BEULAHS BALLANTYNE,,other,
BOTIWALLA OPTIMIST,1115 N BREVARD ST,Charlotte,NC,,BOTIWALLA OPTIMIST,,other,
BOWLERO,210 E TRADE ST,Charlotte,NC,,BOWLERO,,other,
BOWLERO SOUTH BLVD,4501 SOUTH BV,Charlotte,NC,,BOWLERO SOUTH BLVD,,other,
BRADSHAW SOCIAL HOUSE,8440 REA RD,Charlotte,NC,,BRADSHAW SOCIAL HOUSE,,other,
BRAZILIAN EATS & TREATS,16049 JOHNSTON RD,Charlotte,NC,,BRAZILIAN EATS & TREATS,,other,
BREWERS AT 4001 YANCEY,4001 YANCEY RD,Charlotte,NC,,BREWERS AT YANCEY,,other,
BROOKLYN PICKLES,1021 MOREHEAD MEDICAL DR,Charlotte,NC,,BROOKLYN PICKLES,,other,
BROWN BAG PIPER STATION,5231 PIPER STATION DR,Charlotte,NC,,BROWN BAG PIPER STATION,,other,
BRUEGGERS #077-672,8706 PINEVILLE-MATTHEWS RD,Charlotte,NC,,BRUEGGERS -,,other,
BRUEGGERS BAGEL #193,106 S SHARON AMITY RD,Charlotte,NC,,BRUEGGERS BAGEL,,other,
BUHO AT GRAND BOHEMIAN,201 W TRADE ST,Charlotte,NC,,BUHO AT GRAND BOHEMIAN,,other,
BUONA VITA,3419 TORINGDON WY,Charlotte,NC,,BUONA VITA,,other,
"BUTLERS PANTRY, THE",274 S SHARON AMITY RD,Charlotte,NC,,BUTLERS PANTRY,,other,
BYTES,900 W TRADE ST,Charlotte,NC,,BYTES,,other,
CABO FISH TACO,3201 N DAVIDSON ST,Charlotte,NC,,CABO FISH TACO,,other,
CABO FISH TACO BALLANTYNE,11611 NORTH COMMUNITY HOUSE RD,Charlotte,NC,,CABO FISH TACO BALLANTYNE,,other,
CAJUN QUEEN,1800 E 7TH ST,Charlotte,NC,,CAJUN QUEEN,,other,
CAJUN YARD DOG,8036 PROVIDENCE RD,Charlotte,NC,,CAJUN YARD DOG,,other,
CALLE SOL,1205 THOMAS AV,Charlotte,NC,,CALLE SOL,,other,
CALLE SOL SOUTHPARK,3100 APEX DR,Charlotte,NC,,CALLE SOL SOUTHPARK,,other,
CALVARY CHURCH,5801 PINEVILLE-MATTHEWS RD,Charlotte,NC,,CALVARY CHURCH,,other,
CANOPY BY HILTON CHARLOTTE SOUTHPARK,4905 BARCLAY DOWNS DR,Charlotte,NC,,CANOPY BY HILTON CHARLOTTE SOUTHPARK,,other,
CANTEEN OFFICE WAREHOUSE,13225 MCGUIRE NUCLEAR STATION RD,Charlotte,NC,,CANTEEN OFFICE WAREHOUSE,,other,
CANTINA LOUIE MATTHEWS,2225 MATTHEWS TOWNSHIP PY,Charlotte,NC,,CANTINA LOUIE MATTHEWS,,other,
CAPRIOTTIS CHARLOTTE,2040 FREEMAN PARK DR,Charlotte,NC,,CAPRIOTTIS CHARLOTTE,,other,
CAPTAIN D'S,9715 E INDEPENDENCE BV,Charlotte,NC,,CAPTAIN D S,,other,
CAPTAIN D'S #101,2838 FREEDOM DR,Charlotte,NC,,CAPTAIN D S,,other,
CAPTAIN D'S #104,123 EASTWAY DR,Charlotte,NC,,CAPTAIN D S,,other,
CAPTAIN D'S #108,5316 SUNSET RD,Charlotte,NC,,CAPTAIN D S,,other,
CAPTAIN D'S #404,3623 N SHARON AMITY RD,Charlotte,NC,,CAPTAIN D S,,other,
CARIBBEAN HUT,200 W WOODLAWN RD,Charlotte,NC,,CARIBBEAN HUT,,other,
CARIBBEAN HUT EASTFIELD,13016 EASTFIELD RD,Charlotte,NC,,CARIBBEAN HUT EASTFIELD,,other,
CARNITAS GUANAJUATO,5534 ALBEMARLE RD,Charlotte,NC,,CARNITAS GUANAJUATO,,other,
CAROLINA ALE HOUSE WAVERLY,7404 WAVERLY WALK AV,Charlotte,NC,,CAROLINA ALE HOUSE WAVERLY,,other,
"CASEY, THE",1837 N TRYON ST,Charlotte,NC,,CASEY,,other,
CAST IRON WAFFLES BALLANTYNE,9604 LONGSTONE LN,Charlotte,NC,,CAST IRON WAFFLES BALLANTYNE,,other,
"CASUAL PINT, THE",14126 RIVERGATE PY,Charlotte,NC,,CASUAL PINT,,other,
CASWELL STATION,366 N CASWELL RD,Charlotte,NC,,CASWELL STATION,,other,
CATALU,135 NEW BERN ST,Charlotte,NC,,CATALU,,other,
