total_pop,occupied_units,renter_occupied,labor_force,unemployed,owner_no_vehicle,renter_no_vehicle,state,county,tract,block group,state_fips,county_fips,block_group,acs_data_year,pct_renter,pct_unemployed,pct_no_vehicle
1436,401,174,642,32,4,25,37,119,005916,2,37,119,2,2023,0.4339152119700748,0.04984423676012461,0.07231920199501247
513,358,347,316,6,116,0,37,119,000302,2,37,119,2,2023,0.9692737430167597,0.0189873417721519,0.3240223463687151
2033,1181,1027,1514,57,0,0,37,119,005623,2,37,119,2,2023,0.869602032176122,0.037648612945838836,0.0
1561,897,617,1508,0,39,0,37,119,003805,1,37,119,1,2023,0.6878483835005574,0.0,0.043478260869565216
1823,1065,809,1508,5,0,62,37,119,000700,2,37,119,2,2023,0.7596244131455399,0.0033156498673740055,0.05821596244131456
1515,917,648,1211,35,12,0,37,119,002500,1,37,119,1,2023,0.7066521264994547,0.028901734104046242,0.013086150490730643
1569,877,848,1347,10,162,0,37,119,000502,1,37,119,1,2023,0.9669327251995439,0.007423904974016332,0.1847206385404789
1550,537,0,718,46,0,0,37,119,005846,1,37,119,1,2023,0.0,0.06406685236768803,0.0
1225,672,485,523,0,158,4,37,119,003802,2,37,119,2,2023,0.7217261904761905,0.0,0.24107142857142858
1449,716,418,708,25,95,55,37,119,004600,2,37,119,2,2023,0.5837988826815642,0.03531073446327684,0.20949720670391062
1422,554,105,614,16,0,0,37,119,003008,3,37,119,3,2023,0.18953068592057762,0.026058631921824105,0.0
1233,731,502,887,9,16,0,37,119,003600,1,37,119,1,2023,0.6867305061559508,0.010146561443066516,0.02188782489740082
1679,1113,831,1317,39,16,11,37,119,001000,3,37,119,3,2023,0.7466307277628033,0.029612756264236904,0.02425876010781671
1800,562,212,900,21,0,0,37,119,005405,2,37,119,2,2023,0.37722419928825623,0.023333333333333334,0.0
2432,953,24,1089,0,0,46,37,119,003013,2,37,119,2,2023,0.025183630640083946,0.0,0.048268625393494226
1676,830,502,1132,0,24,3,37,119,005529,1,37,119,1,2023,0.6048192771084338,0.0,0.03253012048192771
3028,1419,746,1877,58,134,1,37,119,005527,1,37,119,1,2023,0.525722339675828,0.03090037293553543,0.09513742071881606
1857,548,56,1175,74,0,14,37,119,005928,1,37,119,1,2023,0.10218978102189781,0.06297872340425532,0.025547445255474453
1164,513,389,745,87,27,6,37,119,005200,3,37,119,3,2023,0.7582846003898636,0.11677852348993288,0.06432748538011696
1903,580,233,1152,127,0,22,37,119,001917,1,37,119,1,2023,0.4017241379310345,0.11024305555555555,0.03793103448275862
326,235,206,247,27,7,0,37,119,001801,1,37,119,1,2023,0.8765957446808511,0.10931174089068826,0.029787234042553193
1628,768,411,1127,75,66,0,37,119,002600,1,37,119,1,2023,0.53515625,0.06654835847382432,0.0859375
565,273,182,303,0,0,0,37,119,004000,1,37,119,1,2023,0.6666666666666666,0.0,0.0
2796,1275,883,1719,53,109,0,37,119,001923,1,37,119,1,2023,0.6925490196078431,0.030831878999418267,0.08549019607843138
685,308,56,365,0,0,13,37,119,005301,2,37,119,2,2023,0.18181818181818182,0.0,0.04220779220779221
2302,926,601,1333,104,0,44,37,119,003809,2,37,119,2,2023,0.6490280777537797,0.07801950487621906,0.047516198704103674
2603,778,376,1247,202,25,0,37,119,001509,2,37,119,2,2023,0.4832904884318766,0.1619887730553328,0.032133676092544985
2999,1119,522,1667,72,0,6,37,119,006103,2,37,119,2,2023,0.46648793565683644,0.04319136172765447,0.005361930294906166
1639,930,856,1029,234,30,0,37,119,003008,2,37,119,2,2023,0.9204301075268817,0.22740524781341107,0.03225806451612903
498,278,160,251,0,23,0,37,119,005920,2,37,119,2,2023,0.5755395683453237,0.0,0.08273381294964029
372,266,107,118,0,91,51,37,119,004200,3,37,119,3,2023,0.40225563909774437,0.0,0.5338345864661654
1255,707,658,1210,26,11,0,37,119,003702,1,37,119,1,2023,0.9306930693069307,0.021487603305785124,0.015558698727015558
1663,853,294,793,0,13,0,37,119,005861,1,37,119,1,2023,0.34466588511137164,0.0,0.015240328253223915
2960,1315,689,1701,28,122,14,37,119,005850,1,37,119,1,2023,0.5239543726235741,0.01646090534979424,0.10342205323193916
2192,626,133,1161,117,33,45,37,119,005863,2,37,119,2,2023,0.2124600638977636,0.10077519379844961,0.12460063897763578
1617,637,152,1037,42,0,55,37,119,005843,2,37,119,2,2023,0.23861852433281006,0.040501446480231434,0.08634222919937205
1598,636,283,587,6,138,0,37,119,002908,3,37,119,3,2023,0.4449685534591195,0.010221465076660987,0.2169811320754717
992,481,299,709,16,17,0,37,119,005816,2,37,119,2,2023,0.6216216216216216,0.022566995768688293,0.035343035343035345
1023,475,102,464,0,0,17,37,119,002202,1,37,119,1,2023,0.21473684210526317,0.0,0.035789473684210524
3410,1017,173,1631,121,0,16,37,119,005918,3,37,119,3,2023,0.17010816125860373,0.07418761496014716,0.015732546705998034
1607,738,237,1102,59,0,0,37,119,005839,2,37,119,2,2023,0.32113821138211385,0.05353901996370236,0.0
1213,475,152,396,59,0,62,37,119,004600,1,37,119,1,2023,0.32,0.14898989898989898,0.13052631578947368
916,366,165,377,0,11,30,37,119,004400,1,37,119,1,2023,0.45081967213114754,0.0,0.11202185792349727
3651,990,862,1493,55,197,0,37,119,001702,4,37,119,4,2023,0.8707070707070707,0.036838580040187544,0.198989898989899
2843,1019,413,1593,84,0,0,37,119,001916,2,37,119,2,2023,0.4052993130520118,0.05273069679849341,0.0
2344,931,33,1254,69,9,0,37,119,005713,1,37,119,1,2023,0.03544575725026853,0.05502392344497608,0.00966702470461869
1332,555,307,627,75,114,21,37,119,004000,3,37,119,3,2023,0.5531531531531532,0.11961722488038277,0.24324324324324326
2323,612,61,1074,55,17,27,37,119,003810,1,37,119,1,2023,0.09967320261437909,0.051210428305400374,0.0718954248366013
0,0,0,0,0,0,0,37,119,980200,1,37,119,1,2023,,,
1289,452,432,520,79,85,1,37,119,003903,2,37,119,2,2023,0.9557522123893806,0.1519230769230769,0.1902654867256637
257,196,156,195,0,27,0,37,119,001100,2,37,119,2,2023,0.7959183673469388,0.0,0.1377551020408163
2579,1145,451,1331,44,0,0,37,119,005815,1,37,119,1,2023,0.39388646288209606,0.03305785123966942,0.0
1120,468,124,526,92,65,58,37,119,004500,2,37,119,2,2023,0.26495726495726496,0.17490494296577946,0.26282051282051283
1278,560,411,655,0,68,25,37,119,004200,4,37,119,4,2023,0.7339285714285714,0.0,0.16607142857142856
1628,694,275,710,19,107,0,37,119,005405,1,37,119,1,2023,0.3962536023054755,0.02676056338028169,0.15417867435158503
1073,792,690,786,0,52,0,37,119,005533,1,37,119,1,2023,0.8712121212121212,0.0,0.06565656565656566
2901,973,626,1138,0,199,0,37,119,001924,1,37,119,1,2023,0.6433710174717369,0.0,0.20452209660842754
2529,962,155,1266,37,27,0,37,119,005508,1,37,119,1,2023,0.16112266112266113,0.029225908372827805,0.028066528066528068
1617,915,783,917,27,160,0,37,119,000600,1,37,119,1,2023,0.8557377049180328,0.029443838604143947,0.17486338797814208
1102,793,716,971,48,47,6,37,119,000301,1,37,119,1,2023,0.9029003783102144,0.04943357363542739,0.06683480453972257
763,538,529,740,9,6,0,37,119,003401,1,37,119,1,2023,0.983271375464684,0.012162162162162163,0.011152416356877323
1594,640,0,896,11,0,0,37,119,003015,1,37,119,1,2023,0.0,0.012276785714285714,0.0
1645,246,246,343,0,66,0,37,119,000600,2,37,119,2,2023,1.0,0.0,0.2682926829268293
2694,1051,815,1299,66,135,0,37,119,001607,1,37,119,1,2023,0.7754519505233112,0.050808314087759814,0.12844909609895339
1531,808,59,894,3,0,0,37,119,005811,3,37,119,3,2023,0.07301980198019802,0.003355704697986577,0.0
1214,518,194,584,0,0,0,37,119,003019,2,37,119,2,2023,0.3745173745173745,0.0,0.0
1756,698,29,954,30,0,73,37,119,005719,2,37,119,2,2023,0.04154727793696275,0.031446540880503145,0.10458452722063037
2141,874,282,999,0,67,22,37,119,005404,1,37,119,1,2023,0.32265446224256294,0.0,0.10183066361556065
3859,1502,174,1940,24,36,14,37,119,005626,1,37,119,1,2023,0.11584553928095873,0.012371134020618556,0.033288948069241014
1314,761,700,1240,0,0,0,37,119,000402,2,37,119,2,2023,0.9198423127463863,0.0,0.0
802,508,305,493,8,42,8,37,119,004800,3,37,119,3,2023,0.6003937007874016,0.016227180527383367,0.0984251968503937
762,340,96,564,0,0,9,37,119,001702,2,37,119,2,2023,0.2823529411764706,0.0,0.026470588235294117
1019,470,89,599,33,0,0,37,119,005817,1,37,119,1,2023,0.18936170212765957,0.05509181969949917,0.0
1839,725,658,1043,42,88,11,37,119,003108,1,37,119,1,2023,0.9075862068965517,0.040268456375838924,0.13655172413793104
1050,527,225,488,17,56,0,37,119,005511,1,37,119,1,2023,0.4269449715370019,0.03483606557377049,0.1062618595825427
1232,643,409,706,21,129,0,37,119,001300,2,37,119,2,2023,0.6360808709175739,0.029745042492917848,0.2006220839813375
2205,720,309,1422,27,0,0,37,119,005525,1,37,119,1,2023,0.42916666666666664,0.0189873417721519,0.0
2042,781,298,1296,38,57,4,37,119,006008,2,37,119,2,2023,0.38156209987195905,0.029320987654320986,0.07810499359795134
1331,391,29,748,0,0,0,37,119,002201,2,37,119,2,2023,0.0741687979539642,0.0,0.0
1642,620,228,816,39,0,8,37,119,001916,1,37,119,1,2023,0.36774193548387096,0.04779411764705882,0.012903225806451613
1410,514,51,692,11,0,8,37,119,005714,2,37,119,2,2023,0.09922178988326848,0.015895953757225433,0.01556420233463035
2020,914,104,1151,29,25,10,37,119,005517,3,37,119,3,2023,0.1137855579868709,0.02519548218940052,0.038293216630196934
1355,500,147,855,0,0,0,37,119,005536,4,37,119,4,2023,0.294,0.0,0.0
2273,1168,741,1573,25,0,18,37,119,003811,1,37,119,1,2023,0.634417808219178,0.01589319771137953,0.015410958904109588
986,514,293,638,79,21,0,37,119,001925,2,37,119,2,2023,0.5700389105058365,0.1238244514106583,0.04085603112840467
3084,1161,895,1547,96,22,32,37,119,003807,2,37,119,2,2023,0.7708871662360034,0.062055591467356175,0.046511627906976744
1752,631,182,865,0,20,0,37,119,005536,2,37,119,2,2023,0.2884310618066561,0.0,0.03169572107765452
2116,578,314,1052,0,24,0,37,119,003807,1,37,119,1,2023,0.5432525951557093,0.0,0.04152249134948097
2696,942,231,1489,36,83,8,37,119,001922,2,37,119,2,2023,0.24522292993630573,0.0241773002014775,0.09660297239915075
2208,1040,1040,1482,9,41,0,37,119,005534,2,37,119,2,2023,1.0,0.006072874493927126,0.03942307692307692
1926,648,106,1203,15,0,0,37,119,005619,2,37,119,2,2023,0.16358024691358025,0.012468827930174564,0.0
2399,708,352,733,79,0,8,37,119,001917,2,37,119,2,2023,0.4971751412429379,0.1077762619372442,0.011299435028248588
3098,1177,710,1452,24,116,0,37,119,005930,1,37,119,1,2023,0.6032285471537808,0.01652892561983471,0.09855564995751911
2448,1071,897,1755,219,13,0,37,119,005910,1,37,119,1,2023,0.8375350140056023,0.12478632478632479,0.012138188608776844
1353,615,304,523,33,0,0,37,119,002005,1,37,119,1,2023,0.4943089430894309,0.06309751434034416,0.0
2361,1188,444,1533,119,0,0,37,119,005913,2,37,119,2,2023,0.37373737373737376,0.0776255707762557,0.0
1296,599,80,872,0,0,0,37,119,003402,3,37,119,3,2023,0.1335559265442404,0.0,0.0
2813,1089,671,1526,143,60,0,37,119,005824,1,37,119,1,2023,0.6161616161616161,0.09370904325032765,0.05509641873278237
3224,731,507,1321,0,88,0,37,119,005510,1,37,119,1,2023,0.6935704514363885,0.0,0.12038303693570451
1577,681,377,1125,65,106,13,37,119,001702,1,37,119,1,2023,0.55359765051395,0.057777777777777775,0.17474302496328928
